player_id,first_name,second_name,player_name,club_name,position_name,extracted_at,total_points,event_points,now_cost
115,Maxim,De Cuyper,Maxim De Cuyper,Brighton,DEF,2026-08-27 15:23:14.301707+00:00,17,17,4.6
123,Jack,Hinshelwood,Jack Hinshelwood,Brighton,MID,2026-08-27 15:23:14.301707+00:00,16,16,6.0
586,Nobel,Mendy,Nobel Mendy,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,15,15,4.0
565,Mamadou,Sangaré,Mamadou M.Sangaré,Brentford,MID,2026-08-27 15:23:14.301707+00:00,14,14,5.6
279,Semi,Ajayi,Semi Ajayi,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,14,14,4.0
335,Anton,Stach,Anton Stach,Leeds,MID,2026-08-27 15:23:14.301707+00:00,13,13,6.0
88,Michael,Kayode,Michael Kayode,Brentford,DEF,2026-08-27 15:23:14.301707+00:00,13,13,4.6
154,Cole,Palmer,Cole Palmer,Chelsea,MID,2026-08-27 15:23:14.301707+00:00,13,13,9.5
367,Cody,Gakpo,Cody Gakpo,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,12,12,7.0
165,João Pedro,Junqueira de Jesus,João Pedro João Pedro,Chelsea,FWD,2026-08-27 15:23:14.301707+00:00,11,11,7.6
15,Martin,Ødegaard,Martin Ødegaard,Arsenal,MID,2026-08-27 15:23:14.301707+00:00,11,11,6.5
10,Benjamin,White,Benjamin White,Arsenal,DEF,2026-08-27 15:23:14.301707+00:00,11,11,5.5
236,Kiernan,Dewsbury-Hall,Kiernan Dewsbury-Hall,Everton,MID,2026-08-27 15:23:14.301707+00:00,11,11,6.5
332,James,Justin,James Justin,Leeds,DEF,2026-08-27 15:23:14.301707+00:00,10,10,4.5
388,Marc,Guéhi,Marc Guéhi,Man City,DEF,2026-08-27 15:23:14.301707+00:00,10,10,6.0
86,Keane,Lewis-Potter,Keane Lewis-Potter,Brentford,MID,2026-08-27 15:23:14.301707+00:00,10,10,5.5
68,Marcus,Tavernier,Marcus Tavernier,Bournemouth,MID,2026-08-27 15:23:14.301707+00:00,10,10,6.0
572,Konstantinos,Tzolakis,Konstantinos Tzolakis,Hull City,GKP,2026-08-27 15:23:14.301707+00:00,10,10,4.5
327,Jaka,Bijol,Jaka Bijol,Leeds,DEF,2026-08-27 15:23:14.301707+00:00,10,10,5.0
454,Anthony,Elanga,Anthony Elanga,Newcastle,MID,2026-08-27 15:23:14.301707+00:00,9,9,6.0
98,Vitaly,Janelt,Vitaly Janelt,Brentford,MID,2026-08-27 15:23:14.301707+00:00,9,9,5.0
544,Granit,Xhaka,Granit Xhaka,Sunderland,MID,2026-08-27 15:23:14.301707+00:00,9,9,5.5
391,Joško,Gvardiol,Joško Gvardiol,Man City,DEF,2026-08-27 15:23:14.301707+00:00,9,9,5.5
8,Riccardo,Calafiori,Riccardo Calafiori,Arsenal,DEF,2026-08-27 15:23:14.301707+00:00,9,9,5.6
237,Iliman,Ndiaye,Iliman Ndiaye,Everton,MID,2026-08-27 15:23:14.301707+00:00,9,9,6.0
316,Emersonn,Correia da Silva,Emersonn Emersonn,Ipswich Town,FWD,2026-08-27 15:23:14.301707+00:00,9,9,5.5
385,James,Trafford,James Trafford,Leeds,GKP,2026-08-27 15:23:14.301707+00:00,9,9,5.0
12,Bukayo,Saka,Bukayo Saka,Arsenal,MID,2026-08-27 15:23:14.301707+00:00,9,9,9.5
249,Thierno,Barry,Thierno Barry,Everton,FWD,2026-08-27 15:23:14.301707+00:00,8,8,5.5
87,Kristoffer,Ajer,Kristoffer Ajer,Brentford,DEF,2026-08-27 15:23:14.301707+00:00,8,8,4.5
399,Rayan,Cherki,Rayan Cherki,Man City,MID,2026-08-27 15:23:14.301707+00:00,8,8,7.5
368,Dominik,Szoboszlai,Dominik Szoboszlai,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,8,8,7.0
40,Morgan,Rogers,Morgan Rogers,Chelsea,MID,2026-08-27 15:23:14.301707+00:00,8,8,7.5
277,John,Egan,John Egan,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,8,8,4.0
244,Harrison,Armstrong,Harrison Armstrong,Everton,MID,2026-08-27 15:23:14.301707+00:00,8,8,5.0
226,Jordan,Pickford,Jordan Pickford,Everton,GKP,2026-08-27 15:23:14.301707+00:00,7,7,5.5
82,Caoimhín,Kelleher,Caoimhín Kelleher,Brentford,GKP,2026-08-27 15:23:14.301707+00:00,7,7,5.0
130,Mats,Wieffer,Mats Wieffer,Brighton,DEF,2026-08-27 15:23:14.301707+00:00,7,7,5.0
313,Jack,Clarke,Jack Clarke,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,7,7,5.5
268,Josh,King,Josh King,Fulham,MID,2026-08-27 15:23:14.301707+00:00,7,7,5.5
233,Vitalii,Mykolenko,Vitalii Mykolenko,Everton,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
84,Nathan,Collins,Nathan Collins,Brentford,DEF,2026-08-27 15:23:14.301707+00:00,6,6,5.5
229,James,Tarkowski,James Tarkowski,Everton,DEF,2026-08-27 15:23:14.301707+00:00,6,6,6.0
282,Ryan,Giles,Ryan Giles,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.0
230,Jarrad,Branthwaite,Jarrad Branthwaite,Everton,DEF,2026-08-27 15:23:14.301707+00:00,6,6,5.5
97,Mathias,Jensen,Mathias Jensen,Brentford,MID,2026-08-27 15:23:14.301707+00:00,6,6,5.5
290,Regan,Slater,Regan Slater,Hull City,MID,2026-08-27 15:23:14.301707+00:00,6,6,4.5
569,Gonzalo,García,Gonzalo Gonzalo,Fulham,FWD,2026-08-27 15:23:14.301707+00:00,6,6,6.0
334,Tarik,Muharemović,Tarik Muharemović,Leeds,DEF,2026-08-27 15:23:14.301707+00:00,6,6,5.0
109,Bart,Verbruggen,Bart Verbruggen,Brighton,GKP,2026-08-27 15:23:14.301707+00:00,6,6,4.5
330,Jayden,Bogle,Jayden Bogle,Leeds,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
114,Olivier,Boscagli,Olivier Boscagli,Brighton,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
116,Lewis,Dunk,Lewis Dunk,Brighton,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
127,Diego,Gómez Amarilla,Diego Gomez,Brighton,MID,2026-08-27 15:23:14.301707+00:00,6,6,5.0
258,Timothy,Castagne,Timothy Castagne,Fulham,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.5
280,Lewie,Coyle,Lewie Coyle,Hull City,DEF,2026-08-27 15:23:14.301707+00:00,6,6,4.0
